Media,title,article

Some areas of agreement did emerge Friday. Republicans appear willing to accommodate a request from Dr. Ford's attorneys to ensure the security of their client, who has received threats since coming forward. Dr. Ford, a psychology professor at Palo Alto University in California, planned to meet with Federal Bureau of Investigation agents Friday in San Francisco about the threats.

But the two sides remained apart in other areas. Democrats want to summon to testify Mark Judge, whom Dr. Ford has named as a friend of Judge Kavanaugh's and the only other person in the room during the alleged assault. Republicans oppose hearing from Mr. Judge.

Despite the turbulence, Senate Majority Leader Mitch McConnell (R., Ky.) expressed confidence Friday that Judge Kavanaugh's confirmation was on track. ""You watch the fight, you watch the tactics, but here's what I want to tell you: In the very near future, Judge Kavanaugh will be"" on the Supreme Court, he told a conference for social conservatives in Washington

Sen. Maggie Hassan (D., N.H.) took issue with those comments. ""They are saying that even if Dr. Ford comes forward and tells her story . . . they don't care,"" she said on CNN."

wsj,Kavanaugh And Accuser Will Testify --- Senate panel sets a hearing next week on allegation of assault by high-court nominee,"WASHINGTON -- The Senate Judiciary Committee said Monday it would hold a hearing next week with Judge Brett Kavanaugh and the woman who has accused him of sexual assault, setting the stage for a dramatic public showdown that could determine the fate of his nomination to the Supreme Court.

The hearing will give citizens and lawmakers a chance to hear more about the three-decades-old accusations against Judge Kavanaugh from his teenage years at a prep school in the Washington, D.C., area. Judge Kavanaugh has repeatedly denied the accusation, and the White House has said it would proceed with his nomination.

The planned session will ""give these recent allegations a full airing,"" said Sen. Chuck Grassley (R., Iowa), the Judiciary Committee's chairman.

Several Republican senators whose votes will be key to confirming Judge Kavanaugh have said the allegations are serious and merit a full public accounting. The hearing, to be held next Monday, will be Judge Kavanaugh's best chance to rescue his imperiled nomination and respond to the allegations in a public forum.

The hearing will pit his credibility against an explosive accusation made by Christine Blasey Ford, a California college professor, who said he sexually assaulted her when they were teenagers. Mrs. Ford told the Washington Post that when she and Judge Kavanaugh were teenagers at a party in the Washington, D.C., area, he and a friend pulled her into a bedroom. Judge Kavanaugh pinned her down on the bed, groped her and attempted to remove her clothing before she escaped, Mrs. Ford said in the article.

Mrs. Ford, now a professor at Palo Alto University in California, described the episode as aggressive. ""I thought he might inadvertently kill me,"" she told the Post. She said that Mr. Kavanaugh appeared to be intoxicated during their encounter. Efforts to reach Mrs. Ford weren't successful.

Judge Kavanaugh called the accusation ""completely false."" He added: ""I have never done anything like what the accuser describes -- to her or to anyone."" He said he didn't know who was making the accusation until Mrs. Ford identified herself on Sunday.

Republican leaders spent Monday behind closed doors debating over how to proceed with Judge Kavanaugh's nomination. He was tapped in July to succeed the retiring Justice Anthony Kennedy. The confirmation of a new, conservative justice to the high court is a top priority of both President Trump and the Republican leadership in Congress.

After initial signals that Republican leaders would pursue private phone calls with the judge and his accuser rather than a public forum, Mr. Grassley said late Monday the panel would go ahead with a hearing featuring both Mrs. Ford and Judge Kavanaugh. Mr. Grassley said he made the decision after his staff spoke with Mrs. Ford and Judge Kavanaugh in the afternoon.

President Trump indicated he was willing to accept a small delay in the confirmation process to sort out the allegations.

""We want to go through a full process . . . and hear everybody out,"" said Mr. Trump, while also praising Judge Kavanaugh. ""If it takes a little delay, it'll take a little delay.""

Members of Republican Senate leadership expressed cautious optimism that the hearing could put Judge Kavanaugh's nomination back on track. Republicans had been hoping to hold a confirmation vote in committee this week and move him to the Senate floor next week -- in time for him to join the court at the start of its fall session.

Senate Majority Leader Mitch McConnell said he supported the decision to hold a hearing about the accusations.

""The committee has made a good decision and we're going to go forward with it,"" he said. Sen. John Thune (R., S.D.), another member of Senate leadership, said of the hearing: ""I just think that's the only way that both Dr. Ford and Judge Kavanuagh have the opportunity to make their case.""

The path to Judge Kavanuagh's confirmation hinges on his performance in the hearing. The Republicans control the Senate by a narrow 51-49 advantage, so two Republican votes against Judge Kavanaugh would be enough to sink his nomination if Democrats were to vote against him as a bloc.

Several Republicans have said that they are withholding judgment until the hearing, including key votes like Susan Collins of Maine, Lisa Murkowski of Alaska and Jeff Flake of Arizona. ""I need to see them and listen to their answers to the questions in order to make an assessment,"" Ms. Collins said.

Other Republicans stood by Judge Kavanaugh. Sen. Orrin Hatch of Utah said he had spoken to Judge Kavanaugh and that the nominee denied being at the party in question. ""I believe him,"" Mr. Hatch said. ""He's a person of immense integrity.""

The planned hearing is reminiscent of the 1991 confirmation hearing of now-Justice Clarence Thomas that featured testimony by Anita Hill, a college professor, that Justice Thomas had sexually harassed her when he had been her supervisor. Justice Thomas denied the allegation.

This time, a hearing would unfold against the additional backdrop of a growing movement against sexual harassment and the fractious politics of the Trump presidency and the midterm election season.

Judge Kavanaugh visited the White House Monday and spoke by phone to senators, fielding questions about the sexual-assault allegations, a White House official said.

Mrs. Ford first contacted Congress with her allegations in July, hoping to remain anonymous. The matter spilled into public view several days ago when Sen. Dianne Feinstein of California, the top Democrat on the Senate Judiciary Committee, said she had reported a matter involving Judge Kavanaugh to the Federal Bureau of Investigation. Mrs. Feinstein didn't initially name Mrs. Ford, saying the individual had requested confidentiality.

Democrats have been seeking to slow down the Kavanaugh confirmation process, which they argue has been rushed in an effort to get the judge seated before the midterms. Republicans, including Mr. Trump and Mr. McConnell, see their success in putting conservatives on the bench, especially the Supreme Court, as a strong campaign message to their base voters.

Liberal activists have also put heavy pressure on Democrats to oppose the nomination, concerned about Judge Kavanaugh's views on abortion rights, executive power and government regulation.

Most Senate Democrats have already signaled opposition to the nomination, though several who are running for re-election this year in states won by Mr. Trump were believed to be possible ""yes"" votes before the accusations of sexual assault were made public."

wsj,Senators Brace for Report By FBI --- Move by McConnell could clear way for final vote on Kavanaugh as early as Saturday,"WASHINGTON -- Senate Majority Leader Mitch McConnell set up a critical procedural vote Friday on Supreme Court nominee Brett Kavanaugh as senators prepared to scrutinize an FBI report into allegations of sexual assault against the nominee.

Mr. McConnell (R., Ky.) said the Senate would receive the FBI supplemental background investigation into Judge Kavanaugh late Wednesday. He said senators would have time starting Thursday morning to review bureau's findings before voting later this week.

Friday's vote is expected to indicate whether the nominee has the 50 votes he would need for confirmation, with Republican Vice President Mike Pence breaking a 50-50 tie. If Republicans prevail on Friday, a final vote could come as early as Saturday.

""We need to end this. This has gotten beyond the absurd,"" said Sen. John Cornyn of Texas, the chamber's second-ranking Republican.

Late Wednesday, the White House found no corroboration of the allegations after examining interview reports from the FBI, according to people familiar with the matter. It was unclear whether the White House had completed its review of the FBI interview reports. A White House spokesman declined to comment.

Senators of both parties have voiced dismay at the personal tenor of the confirmation fight since Christine Blasey Ford, a California psychology professor, came forward on Sept. 16 to allege that Judge Kavanaugh had sexually assaulted her when they were teenagers, which he categorically denied. The dispute appears to be nearing its conclusion, but senators said they worried the wounds it opened may linger for years.

As the end approached, it remained unclear whether Judge Kavanaugh would have the support to be confirmed, given the GOP's narrow 51-49 advantage in the Senate. Three crucial Republican senators have said their decision would depend in part on the findings of the Federal Bureau of Investigation report.

Mr. McConnell has said the report won't be made public, and it isn't expected to draw explicit conclusions, so senators could take different messages from it.

Judiciary committee staff will be briefed on the FBI report on Thursday morning, separated by party, with Republicans going first. The Democratic and Republican caucuses will then have separate briefings from staff.

The report will be held in a secure room. Senators and staffers will not be allowed to speak publicly about details contained in the report.

Before the report's completion, Democrats said they were concerned that the investigation wouldn't be comprehensive. Sen. Dianne Feinstein of California, the top Democrat on the Senate Judiciary Committee, said the fact that the FBI apparently wasn't interviewing Judge Kavanaugh or Dr. Ford, among others, ""raises serious concerns that this is not a credible investigation.""

No matter the outcome, the fight is on track to leave behind a divided country, a potentially more politicized Supreme Court and continued disagreement on who was victimized.

Sen. Chris Coons (D., Del.) said he talked to his colleagues at a bipartisan prayer breakfast on Wednesday about repairing their relationships.

Sen. Chris Murphy (D., Conn.) said Judge Kavanaugh's attacks on Democrats at last week's hearing could cause lasting damage.

""I really worry about how Kavanaugh's exposed himself as a partisan because I think that will provide incentive for a Democratic president to put a blatant, unrepentant partisan up for confirmation as well,"" he said.

With the tension in the Senate high, and lawmakers, such as Sen. Susan Collins (R., Maine) surrounded by extra security, Mr. McConnell cast Republicans as the targets.

""There's no chance in the world they're going to scare us out of doing our duty,"" he said on the Senate floor. ""I don't care how many members they chase, how many people they harass here in the halls.. . .We will not be intimidated by these people.""

The FBI report will cover allegations brought by Dr. Ford and Deborah Ramirez, a Yale classmate who told the New Yorker that Judge Kavanaugh exposed himself to her in college. Judge Kavanaugh has denied Ms. Ramirez's allegations.

Besides Ms. Collins, GOP Sens. Jeff Flake of Arizona and Lisa Murkowski of Alaska haven't committed to supporting the nominee. Among Democrats, Sens. Joe Manchin of West Virginia and Heidi Heitkamp of North Dakota -- both facing re-election in states that voted heavily for President Trump -- are publicly undecided.

FBI agents have interviewed three people Dr. Ford said were at the social gathering where the alleged assault took place. The bureau also questioned two friends Judge Kavanaugh named in his 1982 calendar, Tim Gaudette and Chris Garrett, known as ""Squi,"" according to their lawyers.

Judge Kavanaugh's calendar indicated that on July 1, 1982, he went to ""Timmy's"" house for ""skis w/Judge, Tom, PJ, Bernie, Squi."" He told lawmakers the entry was a reference to brewskis, or beers, at Mr. Gaudette's home.

Investigators haven't interviewed Dr. Ford, her attorneys said Wednesday.

Asked why he thought the FBI didn't reach out to the key accuser, Sen. Chuck Grassley (R., Iowa), chairman of the Judiciary Committee, said that investigators could review transcripts from the hearing.

Several Republicans criticized Mr. Trump on Wednesday for mocking Dr. Ford's testimony at a political rally in Mississippi late Tuesday. The GOP president cited a series of details he said she couldn't recall about the alleged incident.

""How did you get home? I don't remember,"" Mr. Trump asked, mimicking a questioner at last week's hearing and Dr. Ford's response. He continued in that vein.

Mr. Flake was sharply critical.

""There is no time and no place for remarks like that, but to discuss something this sensitive at a political rally is just not right,"" he said on NBC. ""I wish he hadn't done it, and I just say it's kind of appalling.""

White House spokeswoman Sarah Sanders said the president was simply ""stating the facts that Dr. Ford herself laid out in her testimony."""

wsj,U.S. News: Ford Friend Felt Pressure to Revisit View,"A friend of Christine Blasey Ford told FBI investigators that she felt pressured by Dr. Ford's allies to revisit her initial statement that she knew nothing about an alleged sexual assault by a teenage Brett Kavanaugh, which she later updated to say that she believed but couldn't corroborate Dr. Ford's account, according to people familiar with the matter.

Leland Keyser, who Dr. Ford has said was present at the gathering where she was allegedly assaulted in the 1980s, told investigators that Monica McLean, a retired Federal Bureau of Investigation agent and a friend of Dr. Ford's, had urged her to clarify her statement, the people said.

The statement to the FBI offers a glimpse into how Dr. Ford's allies were working behind the scenes to lobby old classmates to bolster their versions of the alleged incident, as were Judge Kavanaugh's.

Judge Kavanaugh, whose Supreme Court nomination will be debated in the Senate Friday, has denied the allegations of sexual misconduct.

On Thursday, a day after sending to the White House the report on its investigation into the allegations against Judge Kavanaugh, the FBI sent the White House and Senate an additional package of information that included text messages from Ms. McLean to Ms. Keyser, according to a person familiar with the matter.

Ms. McLean's lawyer, David Laufman, said in a statement: ""Any notion or claim that Ms. McLean pressured Leland Keyser to alter Ms. Keyser's account of what she recalled concerning the alleged incident between Dr. Ford and Brett Kavanaugh is absolutely false.""

Ms. Keyser's lawyer on Sept. 23 said in a letter to the Senate Judiciary Committee that she had no recollection of attending a party with Judge Kavanaugh, whom she said she didn't know. That same day, however, she told the Washington Post that she believed Dr. Ford. On Sept. 29, two days after Dr. Ford and the judge testified before the Senate Judiciary Committee, Ms. Keyser's attorney sent a letter to the panel saying his client wasn't refuting Dr. Ford's account and that she believed it but couldn't corroborate it.

A person close to the former classmates said it was her understanding that mutual friends of Dr. Ford and Ms. Keyser, including Ms. McLean, had contacted Ms. Keyser after her initial statement to warn her that her statement was being used by Republicans to rebut the allegation against Judge Kavanaugh. The friends told Ms. Keyser that if she had intended to say she didn't remember the party -- not that it had never happened -- that she should clarify her statement, the person said, adding that the friends hadn't ""pressured"" Ms. Keyser.

Judge Kavanaugh and his allies also lobbied former classmates to defend him. Ahead of a Sept. 23 New Yorker article about an allegation by Deborah Ramirez that Judge Kavanaugh had exposed himself to her in their freshman year at Yale, a former classmate, Karen Yarasavage, said she had gotten a call from ""Brett's guy"" and that ""Brett asked me to go on record,"" according to a memo about the conversation by another former classmate. Ms. Yarasavage is quoted anonymously in the New Yorker piece, the memo said. The judge denied the claim that he exposed himself.

Judge Kavanaugh, in a Wall Street Journal op-ed Thursday, said he had been ""subjected to wrongful and sometimes vicious allegations"" and that his youth had been ""ridiculously distorted.""

If confirmed, he wrote, he would ""keep an open mind in every case, and always strive to preserve the Constitution.""

Ms. Keyser's interview with the FBI -- which is subject to perjury laws -- may influence the Senate debate on the judge's confirmation. Sen. Bob Corker (R., Tenn.), who has said he would vote to confirm Judge Kavanaugh, told reporters earlier Thursday that he found the most significant interviews in the FBI report to be those from people close to Dr. Ford who wanted to corroborate her account and were ""sympathetic in wishing they could, but they could not.""

Howard Walsh, a lawyer for Ms. Keyser, declined to comment.

The FBI declined to comment on the investigation.

There is no indication Dr. Ford and her legal team were involved in any effort to discuss Ms. Keyser's statement with her, according to people familiar with the matter"

wsj,Susan Collins Consents,"With no small sense of the dramatic moment, Maine Senator Susan Collins waited until the final words of her more than 30-minute floor speech Friday to announce her intention to vote to confirm Brett Kavanaugh to the Supreme Court. Moments after she finished, West Virginia Democrat Joe Manchin used the less elevated platform of Twitter to say that he, too, will vote to confirm.

This likely means the Senate will vote Saturday in favor of Judge Kavanaugh's confirmation. We say ""likely"" because rarely has the famous Yogi Berra saying been more true that it isn't over until it's over. With Alaska Republican Lisa Murkowski defecting for reasons apparently known only to her, the vote to confirm sits at a still precarious 51 votes. Would anyone be the least bit surprised if the Democrats produced another Kavanaugh accuser before Saturday's vote? Or maybe another former Supreme Court Justice? (See nearby.)

That is a low thought, but this was very much on Senator Collins's mind during her speech on the floor of the Senate. Her opening words went straight at the politics of the process.

The confirmation process, she said, ""has hit rock bottom."" She said the Kavanaugh confirmation ""looked more like a caricature of a gutter-level political campaign than a solemn occasion.""

She described the campaign against Judge Kavanaugh as driven by a frenzy of special-interest groups that spread outright falsehoods that produced dramatic headlines and were spread by social media.

Having said that, she brought up advice and consent. Remember that?

Advice and consent is the authority that Article II of the Constitution gives the U.S. Senate to confirm persons nominated to high office by the President. Senator Collins used her floor speech as a case study in advice and consent.

She reviewed Judge Kavanaugh's record on the D.C. Circuit Court of Appeals on a range of issues: the Affordable Care Act, the doctrine of severability when part of a law is found to be unconstitutional, presidential powers, same-sex marriage, Roe v. Wade and its related Supreme Court cases and the judge's independence from political influence.

Senator Collins agreed with some of Judge Kavanaugh's positions, disagreed with others, and expressed her hope or expectation that he would not depart from her own views on matters such as abortion rights.

In short, the speech was a U.S. Senator weighing a nominee's objective, known record against her own beliefs and politics. This, presumably, is the practical meaning of advice and consent.

Any observer of the events of the past four weeks is aware that the Kavanaugh nomination process broke free of those traditional advice-and-consent boundaries. And so Senator Collins then also addressed the heart of the last-minute controversy over Judge Kavanaugh's nomination -- the accusation of sexual assault made against him by Christine Blasey Ford.

There has never been any dispute, even from Ms. Ford's advocates, that no corroboration has been put forward for her accusations. The Judiciary Committee's Democrats made clear that the accusation alone was sufficient reason to reject Judge Kavanaugh.

Given the emotional fires that have burned around this central issue, it is worth quoting Senator Collins's response in full:

""Certain fundamental legal principles about due process, the presumption of innocence and fairness do bear on my thinking and I cannot abandon them. In evaluating any given claim of misconduct, we will be ill-served in the long run if we abandon innocence and fairness, tempting though it may be. We must always remember that it is when passions are most inflamed that fairness is most in jeopardy."" The presumption of innocence, she said, ""is relevant to the advice and consent function.""

This was a bracing and important moment. Senator Collins was asserting that even by the enormously flexible standards of American political give-and-take, the case against Judge Kavanaugh had gone too far. The current atmosphere, she said, ""would have alarmed the drafters of our Constitution."" Her seriousness and thoroughness on the floor of the Senate notably contrasted with the superficial analysis of so many other Senators of both political parties.

This was in many ways an old-fashioned Senate floor speech espousing ideas about governance that obviously strike many today as old-fashioned. They are not. The Senator from Maine deserves gratitude for drawing her colleagues and the rest of us back to the meaning of political responsibility."

wsj,U.S. News: The Man Behind the Nominee's Strategy: Don McGahn,"WASHINGTON -- Waiting his turn to testify last week before the Senate Judiciary Committee, Brett Kavanaugh had a private word with White House counsel Don McGahn, who has been shepherding his Supreme Court nomination. Mr. McGahn cleared the holding room of staff, people familiar with the matter said.

Christine Blasey Ford had just told senators that Judge Kavanaugh had sexually assaulted her when they were teens, and White House aides worried her account was compelling. Sitting with Judge Kavanaugh and his wife, Mr. McGahn told him he shouldn't hold back: When facing the senators he should show his true feelings about accusations that he said are false, the people said.

Judge Kavanaugh offered an impassioned and raw defense of his career and character. It isn't clear yet whether the approach worked. Some senators say they were put off by Judge Kavanaugh's combative tone, questioning whether he has the temperament to serve on the high court. But President Trump said he was pleased by the performance.

As the Senate vote on Judge Kavanaugh's nomination nears, the verdict will be a referendum of sorts on a strategy devised by Mr. McGahn, who is slated to step down from the White House once the drama is resolved. Both Mr. McGahn and Judge Kavanaugh declined to comment for this article.

Mr. McGahn took a risk after Dr. Ford first went public with the allegations, advising that Judge Kavanaugh give a TV interview to rebut the charges on a bigger public forum, a White House official said. Putting a Supreme Court nominee on television before the confirmation vote is unprecedented in modern times. In the Fox News interview, Judge Kavanaugh leaned on talking points and presented himself as a model teen -- an image at odds with some classmates' later depictions of him as a hard-partying student.

Still, White House officials, who have been monitoring focus groups measuring political fallout from the Kavanaugh nomination, say the TV appearance galvanized older women voters who are part of the president's political base.

From the first, the White House has described the Kavanaugh nomination as a campaign with Mr. McGahn in the role of day-to-day manager and chairman. Mr. McGahn comes out of conservative legal circles and had admired Judge Kavanaugh's writings on the U.S. Court of Appeals for the District of Columbia, a person familiar with the matter said.

Since the nomination in July, the men have worked in tandem. The White House counsel accompanied the judge to Capitol Hill for days of courtesy calls to senators. When Judge Kavanaugh first testified before the Senate Judiciary Committee, Mr. McGahn sat behind him.

At a preparation session before testifying last week about the sexual-assault allegations, Judge Kavanaugh spoke to the assembled aides and sought to break the tension. Anticipating practice questions about his sex life and drinking habits, he said: ""You're about to learn more about me than you ever wanted to know,"" according to people familiar with the matter.

Judge Kavanaugh recently engaged behind the scenes after learning of a New Yorker magazine article being prepared that would describe an alleged incident at Yale University in which a classmate, Deborah Ramirez, said he exposed himself to her at a drunken party. Mr. Kavanaugh has denied the accusation.

In a memo about text messages she exchanged with fellow former Yale classmates ahead of the article's publication, Kerry Berchem described frequent contacts between Judge Kavanaugh, his team and his former classmates, according to a copy of the document reviewed by The Wall Street Journal."

wsj,The Never Conservatives,"Donald Trump didn't help Brett Kavanaugh's confirmation with his crude mockery of Christine Blasey Ford on Tuesday night in Tennessee, but then this Supreme Court moshpit isn't about this President. The left's all-out assault on the judge is clarifying because it shows that the ""resistance"" is really about anything and everything conservative in America. Mr. Trump is its foil to regain power.

Brett Kavanaugh isn't part of Mr. Trump's New York menagerie, or some Steve Bannon insurgent. The judge is the epitome of the GOP legal establishment, a Supreme Court nominee from central casting. He went to the best schools and served his apprenticeship among legal elites including a clerkship with former Justice Anthony Kennedy.

He has spent 26 years in public service instead of cashing in as a Beltway lawyer. He served at the highest levels of George W. Bush's White House staff in positions of great trust. On the D.C. Circuit Court of Appeals for 12 years, he has written more than 300 opinions and had at least 10 adopted by the Supreme Court. He has taught at Harvard Law School at the invitation of then dean, and now Justice, Elena Kagan.

With these credentials Judge Kavanaugh would have been on any Republican's short list for the Supreme Court. He could have been Jeb Bush's nominee, or John Kasich's, though Mr. Kasich in the ambitious ebb of his career now tilts with the anti-conservative left against Mr. Kavanaugh. In 2012 the New Yorker's Jeffrey Toobin wrote that Mr. Kavanaugh would have been Mitt Romney's ""most likely first nominee"" for the High Court. Mr. Toobin, who loathes conservatives, meant it as a warning.

---

Mr. Trump's nomination of Mr. Kavanaugh is a credit to the process he established to win the election and govern with conservative support. He sought the help of legal elites on the right, led by the Federalist Society, who compiled an impressive list of potential nominees. This isn't a rogue judicial operation to choose presidential cronies. It is the gold standard for legal talent that believes in the original meaning of the Constitution. It's hard to see how any GOP President would have done better, and others have done much worse.

Yet this is precisely why Democrats and the left have set out to destroy Judge Kavanaugh -- not in legal philosophy or competence, which they knew was a political loser, but as a human being, a spouse and father. They need to destroy him personally with accusations but no corroboration, as they tried with Clarence Thomas, so they can deny the open Supreme Court seat to a judicial conservative.

So much the better if playing the #MeToo card also helps Democrats retake Congress. In this sense too, Mr. Trump is the left's foil, though the Kavanaugh fight has usefully exposed the dishonesty of the loud worries about Mr. Trump's threat to ""democratic norms.""

Democrats were so worried about Senate norms that they hid Ms. Ford's name from Republicans for six weeks, found her a lawyer, midwifed a lie detector test whose results they still haven't fully disclosed, and then orchestrated the rollout of her accusations. Mr. Trump's rhetoric is too often divisive and dissembling, but no action in his Presidency comes close to matching the partisan viciousness of the Senate ambush of Brett Kavanaugh. These are today's Democratic norms.

The other Democratic targets here are Paul Ryan, Mitch McConnell and the conservative GOP majorities in Congress that have cut taxes, eased crushing regulations and confirmed a record number of appellate judges. Democrats claim to want to be a ""check"" on Mr. Trump, but good luck with that.

Their real goal is to retake Capitol Hill, roll back tax reform, expand the entitlement state, taunt Mr. Trump like a dancing bear, and set up 2020 for a return of the Obama agenda under the identity-politics leadership of Kamala Harris or Elizabeth Warren.

---

The media sometimes profess to be puzzled that more than 80% of Republicans across the country tell pollsters they support Mr. Trump despite his personal flaws. The Never Conservatives are the reason, and the assault on Judge Kavanaugh is the latest showcase of their methods. Republicans have figured out that if the left can willfully, even gleefully, destroy a man as distinguished as Brett Kavanaugh, they can and will do it to any conservative who threatens their grip on power.

Republicans are well aware of Mr. Trump's excesses and falsehoods. But they have also come to understand that the resistance to him isn't rooted in principle or some august call to superior character. They know Democrats nominated Hillary Clinton in 2016 despite her history of deceit. Voters know this is about the left's will to power by any means necessary.

Republicans across America can see, and certainly their Senators voting on Judge Kavanaugh should realize, that the left hates them as much or more than they loathe Mr. Trump. Conservatives understand that, for the American left, they are all deplorables now."

wsj,U.S. News: Hearing Rivets The Nation and Its Legislators,"WASHINGTON -- Wrenching back-to-back appearances by Supreme Court nominee Brett Kavanaugh and Christine Blasey Ford, the woman who has accused him of sexual assault, riveted the Capitol Thursday in a day of angry, often-personal exchanges and emotional testimony.

Judge Kavanaugh, who appeared after Dr. Ford, swerved between teary references to his family and fiery lambasting of Democrats for demanding an investigation into the late-surfacing allegations against him in a nearly hourlong opening defense. He maintained his defiant tone during questioning, on occasion interrupting senators to turn their questions back on them.

""This whole two-week effort has been a calculated and orchestrated political hit, fueled with apparent pent-up anger about President Trump and the 2016 election, fear that has been unfairly stoked about my judicial record, revenge on behalf of the Clintons, and millions of dollars in money from outside left-wing opposition groups,"" Mr. Kavanaugh said.

He choked up several times during his remarks, as had Dr. Ford when she spoke earlier. A psychology professor, Dr. Ford used a mix of clinical and emotional terms to describe the effect the alleged assault had on her life.

""Indelible in the hippocampus is the laughter, the uproarious laughter between the two and their having fun at my expense,"" Dr. Ford said, referring to her account of Judge Kavanaugh and a friend, Mark Judge, allegedly jumping on her and pinning her to the bed.

Across the nation, Americans altered their routines Thursday to watch Dr. Ford's testimony and Judge Kavanaugh's impassioned response.

At the historic Players Retreat restaurant in Raleigh, N.C., a small group of women reserved the private pool-table room to watch the hearing over sandwiches and salads.

""To think how brave she is, it's overwhelming to me,"" said Ella Frantz, a mother of grown children and Democratic activist. ""People, maybe now, will have a voice and will come forward and tell their story.""

Ms. Frantz later said she was glued to Mr. Kavanaugh's testimony and found it compelling, especially as he described his pain as a father, son, husband and professional whose reputation was at risk.

If Dr. Ford's accusations aren't true, ""this is terrible,"" she said. ""But then I go back and think, there's nothing in it for her.""

Dr. Ford said she first divulged details of the alleged assault to her husband in couples therapy in 2012, after they disagreed over whether to build a second front door to their home. She insisted on it, she said, because the incident as a teenager left her so anxious and claustrophobic.

Dr. Ford also fleshed out another alleged encounter, describing Mr. Judge's reaction when she bumped into him at a grocery store six to eight weeks after the alleged assault. ""I said hello to him, and his face was white and very uncomfortable saying hello back,"" she said.

The hearing's asymmetrical structure contributed to its extraordinary nature. Republicans, eager to avoid the spectacle of 11 GOP men interrogating Dr. Ford, hired an outside counsel, Rachel Mitchell, a sex-crimes prosecutor from Arizona, to question her. Democratic senators questioned her themselves.

As the two sides alternated questions, Ms. Mitchell's calm, methodical questions were interspersed with Democrats' broader, more impassioned political remarks.

Once Judge Kavanaugh took the stand, Sen. Lindsey Graham (R., S.C.) gave a speech angrily attacking his Democratic colleagues, and other Republicans began questioning the nominee themselves.

His comments were striking in a chamber that has long valued collegiality. ""What you want to do is destroy this guy's life, hold his seat open, and hope you win in 2020,"" Sen. Graham said.

That accusation of intentional delay echoed the frustration many Democrats voiced at the fate of Judge Merrick Garland, whom Senate Republicans refused to consider after President Obama nominated him to the Supreme Court in March 2016.

As many questions focused on Judge Kavanaugh's high-school behavior, several senators pressed the nominee on how much he drank and whether he ever blacked out.

""Sometimes I had too many beers. I liked beer. I still like beer,"" Mr. Kavanaugh said. ""But I did not drink beer to the point of blacking out, and I never sexually assaulted anyone."""

wsj,Democrats Disgrace the Senate,"Thursday will be an immensely consequential day for America. As of this writing, Christine Blasey Ford is scheduled to appear in the morning before the Senate Judiciary Committee, followed by Judge Brett Kavanaugh. They both deserve to be heard, but the hearing could devolve into a circus.

Sen. Dianne Feinstein could have avoided this chaos if she'd acted properly in July after receiving Ms. Ford's letter alleging Mr. Kavanaugh sexually assaulted her at a party of teenagers in the early 1980s. Mrs. Feinstein could have promptly delivered the letter to the FBI so agents could interview Ms. Ford, Judge Kavanaugh and the people she claims were present. Their responses would have been included in the judge's confidential background check.

The Judiciary Committee could then have privately considered all the facts -- including that Ms. Ford can't remember when or where the alleged assault took place, and that the three people Ms. Ford claims attended the party all deny any recollection of it. Ms. Ford would have kept her anonymity and Judge Kavanaugh his reputation.

But Mrs. Feinstein -- who finds herself in a difficult re-election campaign -- placed venomous partisanship above fair play and professionalism. She has brought dishonor to her decades in the Senate.

Now comes an accusation in the New Yorker that Mr. Kavanaugh exposed himself to Deborah Ramirez at a Yale drinking session, and another, even more salacious allegation from ""resistance"" celebrity attorney Michael Avenatti. The New York Times earlier took a pass on Ms. Ramirez's story after interviewing ""several dozen people"" without finding any who could corroborate it. They also discovered she recently told classmates she wasn't certain Mr. Kavanaugh was the one who exposed himself, asking them to confirm it. (According to the New Yorker story, Ms. Ramirez ""was at first hesitant to speak publicly, partly because her memories contained gaps because she had been drinking."" She ""felt confident"" of her story only ""after six days of carefully assessing her memories and consulting with her attorney."")

Judge Kavanaugh had already undergone two extensive FBI background checks, one when he joined the White House staff and another when nominated to the U.S. Circuit Court of Appeals for the District of Columbia. None of these allegations were raised either time.

Senate Democrats seem to be competing to debase themselves most. Shouting at Chairman Chuck Grassley, Sen. Kamala Harris looked like she's already campaigning for president. Sen. Cory Booker (D., Thrace) repeatedly and defiantly boasted that he'd make public confidential documents -- whose release the committee had already authorized. Sen. Dick Durbin vacuously praised lawbreakers disrupting the hearing as the ""noise of democracy.""

When running for the Senate in 2010, Richard Blumenthal falsely told constituents he had served in Vietnam. He now claims Judge Kavanaugh lacks credibility and so has ""a responsibility to come forward with evidence"" rebutting Ms. Ford -- that is, responsibility to prove a negative.

